Lipid,AK0135,AK0139,AK0140,AK0141,AK0142,AK0144,AK0145,AK0147,AK0154,AK0155,AK0157,AK0161,AK0164,AK0166,AK0168,AK0169,AK0170,AK0174,AK0175,AK0200,AK0202,AK0204,Blank-10x,Blank-1x,Blank-2x,Blank-3x,Blank-4x,Blank-5x,Blank1-10x,Blank1-1x,Blank1-2x,Blank1-3x,Blank1-4x,Blank1-5x
(11Z)-eicoseneoylcarnitine,1385807.142211914,1499141.0727539062,1307461.673461914,1232529.298461914,1112698.8952636719,1173379.2845458984,1128833.5732421875,1273471.4271240234,1123954.2408447266,1403092.8359375,1296922.0581054688,1159558.7852783203,1278053.767944336,1211117.0444335938,1347732.7966308594,1170394.5592041016,1202099.1199951172,1238776.1319580078,1282045.1535644531,1561939.1799316406,1278446.3055419922,2960353.279296875,809088.5803222656,285046.4786605835,753010.3146896362,692358.3055725098,744410.7547607422,719951.9888916016,799795.6190185547,893392.7677459717,670807.184627533,725850.1517524719,683913.6309814453,735058.2713623047
"(11Z,14Z)-eicosadienoylcarnitine",1386486.881225586,1380411.9562988281,1270323.0888671875,1189427.4458007812,1016258.3680419922,1106398.5203857422,1130798.7427978516,1174063.134399414,979734.9114685059,1315000.8809814453,1231351.0626220703,1179871.0670166016,1181701.8826904297,1150253.9196777344,1287640.1538085938,1079225.223022461,1218773.5845947266,1254938.1559448242,1132406.2965698242,1302167.092163086,1176849.5888671875,2821156.5366210938,711309.69140625,283604.88078689575,740287.8110275269,651128.3464813232,740958.3533935547,624988.7618408203,746290.5116577148,807109.7993888855,647193.0656585693,647584.2808151245,643889.8653564453,735246.0521240234
"(13Z,16Z)-docosadienoylcarnitine",1193675.4536132812,1488449.0466308594,917784.1473388672,1214428.3122558594,858200.9806518555,901172.6478271484,1079653.0477294922,994215.9099121094,775983.2182006836,1021483.6547241211,1002830.3212890625,1193195.6975708008,1238666.0463256836,944415.6671142578,1117817.3359375,963797.7319335938,1149769.7707519531,1221247.5565185547,1017794.9621582031,1397754.8560791016,1063207.8836669922,2707231.5189208984,434821.43142700195,181664.57362365723,350032.6856803894,336725.82440185547,456462.07012939453,410542.4476928711,494190.31396484375,409702.50841903687,315931.1022987366,338307.3823623657,404352.1286010742,441234.23028564453
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2312001.0830078125,2612464.2541503906,1738335.9741210938,1803508.3111572266,2065626.0770263672,1975725.435546875,2139352.323059082,1865403.3950195312,1796025.6650390625,1691230.3599853516,1727886.1398925781,1584487.484008789,2044519.1489868164,2450736.8177490234,2114082.271484375,2302781.201599121,1759009.0557861328,2786300.2643432617,2522326.7109375,2210718.679321289,2266709.955444336,4539267.546386719,1536947.1342773438,114023.58724212646,240947.85717773438,224643.4165649414,1552005.6342773438,1671521.9812011719,1583113.0673828125,277545.71911621094,213431.6953125,203534.63427734375,1282032.9786376953,1694517.3529052734
"(5Z,8Z)-tetradecadienoylcarnitine",764319.4936523438,1094941.1242675781,655389.2666015625,710033.0822753906,582569.9982910156,623829.7839355469,699176.3087768555,648136.1826171875,516543.6394042969,733716.3115234375,706966.9733886719,718203.7386474609,659514.9055175781,634336.0673828125,712078.0900878906,646658.5451660156,721524.2933959961,764933.9527587891,652278.2630615234,936592.482421875,645266.2047119141,1766401.763671875,406347.2302246094,158361.42999267578,348472.2640686035,332809.5631713867,400117.529296875,376268.72619628906,412076.7482910156,416392.0908203125,329392.3031616211,333227.5640258789,349717.42431640625,374133.146484375
"(7Z,10Z)-hexadecadienoylcarnitine",1123748.9030761719,1456700.292602539,891040.62109375,1114638.0924072266,832436.5582275391,875553.4079589844,1080488.7222595215,875817.8896484375,712716.2937011719,881094.546875,883494.3424072266,1046285.1735839844,994361.0492553711,987459.4455566406,1058898.5242919922,953706.0941162109,971811.7346191406,1286415.7739868164,1079671.9899902344,1376905.8234863281,1039734.9908447266,2592716.475341797,483013.5920410156,148019.67110061646,319249.6828804016,298959.06103515625,489657.2763671875,507390.4580078125,512668.7941894531,381157.36602783203,295596.8414115906,271056.0196533203,407862.8293457031,499368.09826660156
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1126353.620300293,1363543.480041504,938498.4275512695,1154406.699584961,757553.4345092773,926965.067199707,1076848.0437011719,852648.1026611328,749638.4543457031,1025579.0539550781,910723.6071777344,1135056.982788086,1079055.9274902344,932723.5684814453,1071678.8985595703,883585.7555541992,1079179.2010498047,1177549.126953125,1027356.7213745117,1314794.0446166992,996268.9852294922,2561769.2114257812,411956.1692504883,153256.1509437561,311560.2217979431,280040.2191314697,378512.14544677734,407556.4694824219,400080.1467285156,336908.8634338379,271371.1791038513,286894.6812553406,353143.88610839844,381825.0081176758
(9Z)-3-hydroxyoctadecenoylcarnitine,4887687.393920898,5198610.0556640625,4183498.2982177734,4825548.983886719,3858002.0883789062,4515173.979614258,4360791.6220703125,4665629.469604492,2848896.9407958984,4165821.642944336,4239605.551391602,4968568.333374023,4894547.858154297,3656461.825073242,4556464.165771484,5193424.2548828125,4314156.84765625,3856481.7958984375,4835780.072509766,4576701.091308594,5939488.359130859,8748329.255859375,900996.4412841797,341258.06032562256,880378.1818237305,930670.5440063477,878383.4028320312,842090.9189453125,978049.37109375,1045277.5928382874,846700.9978256226,832965.7972412109,796479.7379150391,861662.3607177734
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",1940554.4440917969,2002974.8272705078,1498702.8666992188,1911398.482849121,1509876.7067871094,1642605.657836914,1580741.047241211,1640416.5393066406,1061737.3879394531,1500157.6706542969,1640031.748413086,1913919.235534668,2097805.024169922,1439568.689453125,1776308.5927734375,2052745.1049804688,1748927.3958740234,1671652.7352294922,1796628.9790039062,1901714.705444336,2106989.879760742,3335229.4018554688,393668.087890625,168484.0325164795,344299.8841781616,336023.50396728516,354826.4235839844,379085.88708496094,406839.0881347656,427531.6324157715,326329.22271347046,341605.96353912354,329162.7628173828,382649.8464355469
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",4891001.678283691,5300942.361083984,4231218.8837890625,4562636.583618164,3663724.6591796875,3921731.4681396484,4388263.270019531,4140817.1970214844,2744756.177734375,3778032.8237304688,4032598.901611328,4788771.525024414,4789257.653442383,3403129.6446533203,4114643.4873046875,5079197.523925781,3860608.9428710938,3928391.265625,4548470.571166992,4220326.905151367,5549661.710693359,8361298.29296875,676183.026550293,263180.44006347656,705292.3094825745,660749.466468811,754624.8131103516,705520.4077148438,802433.9370117188,843610.2429504395,657465.6069221497,675020.4306678772,643130.2841796875,670849.0278320312
